match_id,home_team_id,away_team_id,home_team_rating,home_accurate_pass,home_total_pass,home_blocked_scoring_att,home_ontarget_scoring_att,home_shot_off_target,home_won_corners,home_penalty_save,home_total_tackle,home_fk_foul_lost,home_total_throws,home_possession_percentage,away_team_rating,away_accurate_pass,away_total_pass,away_blocked_scoring_att,away_ontarget_scoring_att,away_shot_off_target,away_won_corners,away_penalty_save,away_total_tackle,away_fk_foul_lost,away_total_throws,away_possession_percentage,result_home,home_team_att_strength,home_team_def_strength,away_team_att_strength,away_team_def_strength,home_wins,away_wins,home_draws,away_draws,home_losses,away_losses,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,home_team_rating_last3,home_accurate_pass_last3,home_total_pass_last3,home_blocked_scoring_att_last3,home_ontarget_scoring_att_last3,home_shot_off_target_last3,home_won_corners_last3,home_penalty_save_last3,home_total_tackle_last3,home_fk_foul_lost_last3,home_total_throws_last3,home_possession_percentage_last3,away_team_rating_last3,away_accurate_pass_last3,away_total_pass_last3,away_blocked_scoring_att_last3,away_ontarget_scoring_att_last3,away_shot_off_target_last3,away_won_corners_last3,away_penalty_save_last3,away_total_tackle_last3,away_fk_foul_lost_last3,away_total_throws_last3,away_possession_percentage_last3,home_team_att_strength_last3,home_team_def_strength_last3,away_team_att_strength_last3,away_team_def_strength_last3,home_wins_last3,away_wins_last3,home_draws_last3,away_draws_last3,home_losses_last3,away_losses_last3,home_player_1_last3,home_player_2_last3,home_player_3_last3,home_player_4_last3,home_player_5_last3,home_player_6_last3,home_player_7_last3,home_player_8_last3,home_player_9_last3,home_player_10_last3,home_player_11_last3,away_player_1_last3,away_player_2_last3,away_player_3_last3,away_player_4_last3,away_player_5_last3,away_player_6_last3,away_player_7_last3,away_player_8_last3,away_player_9_last3,away_player_10_last3,away_player_11_last3
829523,24,23,6.767692307692309,197.0,289.0,2.0,1.0,4.0,8.0,0.0,19.0,9.0,35.0,36.9,6.471428571428571,382.0,460.0,3.0,0.0,9.0,3.0,0.0,23.0,8.0,22.0,44.2,0.0,1.0,1.0,1.0,1.0,1,0,0,0,0,1,6.3,6.87,7.05,7.02,7.41,7.4,6.79,6.94,6.19,6.2,7.59,6.58,6.04,6.43,6.13,7.05,6.1,6.31,6.62,7.12,7.1,6.72,6.767692307692309,197.0,289.0,2.0,1.0,4.0,8.0,0.0,19.0,9.0,35.0,36.9,6.471428571428571,382.0,460.0,3.0,0.0,9.0,3.0,0.0,23.0,8.0,22.0,44.2,1.0,1.0,1.0,1.0,1,0,0,0,0,1,6.3,6.87,7.05,7.02,7.41,7.4,6.79,6.94,6.19,6.2,7.59,6.58,6.04,6.43,6.13,7.05,6.1,6.31,6.62,7.12,7.1,6.72
829524,15,14,7.13428571428571,551.0,668.0,4.0,3.0,4.0,3.0,0.0,19.0,7.0,29.0,61.4,6.71428571428571,265.0,344.0,3.0,3.0,5.0,3.0,0.0,13.0,16.0,12.0,36.7,1.0,1.0,1.0,1.0,1.0,1,0,0,1,0,0,6.75,6.9,7.02,7.85,7.23,6.92,6.91,7.51,8.73,8.29,7.6,6.39,6.99,7.01,6.51,7.24,6.71,6.63,6.18,6.96,7.31,6.7,7.13428571428571,551.0,668.0,4.0,3.0,4.0,3.0,0.0,19.0,7.0,29.0,61.4,6.71428571428571,265.0,344.0,3.0,3.0,5.0,3.0,0.0,13.0,16.0,12.0,36.7,1.0,1.0,1.0,1.0,1,0,0,1,0,0,6.75,6.9,7.02,7.85,7.23,6.92,6.91,7.51,8.73,8.29,7.6,6.39,6.99,7.01,6.51,7.24,6.71,6.63,6.18,6.96,7.31,6.7
829525,162,29,6.628571428571429,127.0,222.0,2.0,2.0,0.0,3.0,0.0,33.0,19.0,18.0,24.0,6.659285714285719,344.0,414.0,4.0,4.0,10.0,8.0,0.0,17.0,12.0,15.0,46.6,2.0,1.0,1.0,1.0,1.0,0,0,0,0,1,1,6.26,6.75,6.03,7.32,7.38,6.0,7.94,6.65,5.9,6.27,7.38,6.91,7.2,6.0,6.48,7.02,6.0,7.08,7.25,6.12,7.58,5.66,6.628571428571429,127.0,222.0,2.0,2.0,0.0,3.0,0.0,33.0,19.0,18.0,24.0,6.659285714285719,344.0,414.0,4.0,4.0,10.0,8.0,0.0,17.0,12.0,15.0,46.6,1.0,1.0,1.0,1.0,0,0,0,0,1,1,6.26,6.75,6.03,7.32,7.38,6.0,7.94,6.65,5.9,6.27,7.38,6.91,7.2,6.0,6.48,7.02,6.0,7.08,7.25,6.12,7.58,5.66
829531,259,184,6.886428571428571,307.0,383.0,1.0,4.0,0.0,0.0,0.0,19.0,20.0,23.0,40.4,6.298571428571429,288.0,413.0,1.0,2.0,6.0,4.0,0.0,12.0,6.0,35.0,38.6,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,1,7.34,7.68,6.75,6.21,6.5,6.8,8.09,8.45,6.81,6.13,6.5,5.29,6.5,6.66,6.02,6.56,6.28,6.29,7.61,6.87,6.31,6.0,6.886428571428571,307.0,383.0,1.0,4.0,0.0,0.0,0.0,19.0,20.0,23.0,40.4,6.298571428571429,288.0,413.0,1.0,2.0,6.0,4.0,0.0,12.0,6.0,35.0,38.6,1.0,1.0,1.0,1.0,1,0,0,0,0,1,7.34,7.68,6.75,6.21,6.5,6.8,8.09,8.45,6.81,6.13,6.5,5.29,6.5,6.66,6.02,6.56,6.28,6.29,7.61,6.87,6.31,6.0
829529,18,175,6.766153846153849,345.0,450.0,2.0,6.0,4.0,6.0,0.0,35.0,11.0,27.0,43.9,6.548571428571429,349.0,439.0,0.0,5.0,5.0,6.0,0.0,18.0,18.0,24.0,57.8,0.0,1.0,1.0,1.0,1.0,0,0,0,1,1,0,6.12,6.38,7.75,6.91,7.48,6.99,7.86,6.56,6.75,6.31,6.73,5.51,6.5,6.63,6.84,6.28,7.52,7.91,6.38,6.93,6.51,6.82,6.766153846153849,345.0,450.0,2.0,6.0,4.0,6.0,0.0,35.0,11.0,27.0,43.9,6.548571428571429,349.0,439.0,0.0,5.0,5.0,6.0,0.0,18.0,18.0,24.0,57.8,1.0,1.0,1.0,1.0,0,0,0,1,1,0,6.12,6.38,7.75,6.91,7.48,6.99,7.86,6.56,6.75,6.31,6.73,5.51,6.5,6.63,6.84,6.28,7.52,7.91,6.38,6.93,6.51,6.82
829526,31,13,6.61,509.0,605.0,5.0,3.0,5.0,6.0,0.0,19.0,10.0,17.0,63.3,7.015,640.0,730.0,3.0,6.0,5.0,9.0,0.0,26.0,13.0,21.0,76.0,0.0,1.0,1.0,1.0,1.0,0,1,1,0,0,0,6.03,6.9,6.03,5.88,6.74,7.48,6.01,6.81,6.51,6.97,6.32,5.81,6.59,6.0,7.33,7.39,6.0,8.1,6.53,6.21,6.0,7.8,6.61,509.0,605.0,5.0,3.0,5.0,6.0,0.0,19.0,10.0,17.0,63.3,7.015,640.0,730.0,3.0,6.0,5.0,9.0,0.0,26.0,13.0,21.0,76.0,1.0,1.0,1.0,1.0,0,1,1,0,0,0,6.03,6.9,6.03,5.88,6.74,7.48,6.01,6.81,6.51,6.97,6.32,5.81,6.59,6.0,7.33,7.39,6.0,8.1,6.53,6.21,6.0,7.8
829532,30,171,6.923571428571429,386.0,482.0,4.0,4.0,2.0,5.0,0.0,19.0,10.0,16.0,53.4,6.715,296.0,383.0,6.0,6.0,7.0,8.0,0.0,14.0,10.0,22.0,51.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,1,7.77,6.0,7.98,7.72,6.95,7.75,6.0,6.68,7.21,7.45,6.04,6.88,7.54,7.07,6.68,5.99,6.0,6.0,7.29,7.82,6.28,7.25,6.923571428571429,386.0,482.0,4.0,4.0,2.0,5.0,0.0,19.0,10.0,16.0,53.4,6.715,296.0,383.0,6.0,6.0,7.0,8.0,0.0,14.0,10.0,22.0,51.0,1.0,1.0,1.0,1.0,1,0,0,0,0,1,7.77,6.0,7.98,7.72,6.95,7.75,6.0,6.68,7.21,7.45,6.04,6.88,7.54,7.07,6.68,5.99,6.0,6.0,7.29,7.82,6.28,7.25
829527,214,96,7.176428571428571,289.0,382.0,4.0,4.0,3.0,9.0,1.0,17.0,10.0,26.0,49.0,6.79923076923077,432.0,517.0,6.0,2.0,4.0,2.0,0.0,27.0,14.0,36.0,63.1,0.0,1.0,1.0,1.0,1.0,1,0,0,0,0,1,8.92,8.8,6.46,8.17,7.38,7.02,6.96,7.75,7.0,6.15,6.74,5.73,7.91,6.99,8.25,6.65,7.36,6.34,6.0,6.96,6.0,6.59,7.176428571428571,289.0,382.0,4.0,4.0,3.0,9.0,1.0,17.0,10.0,26.0,49.0,6.79923076923077,432.0,517.0,6.0,2.0,4.0,2.0,0.0,27.0,14.0,36.0,63.1,1.0,1.0,1.0,1.0,1,0,0,0,0,1,8.92,8.8,6.46,8.17,7.38,7.02,6.96,7.75,7.0,6.15,6.74,5.73,7.91,6.99,8.25,6.65,7.36,6.34,6.0,6.96,6.0,6.59
829530,16,32,6.871428571428571,242.0,323.0,3.0,2.0,2.0,3.0,0.0,29.0,9.0,19.0,42.2,6.707142857142861,482.0,558.0,4.0,5.0,5.0,4.0,0.0,13.0,14.0,29.0,59.6,0.0,1.0,1.0,1.0,1.0,0,0,1,0,0,1,6.45,6.57,8.5,6.55,6.0,8.04,8.75,6.89,6.48,6.7,6.61,5.79,7.24,7.61,6.38,6.73,6.83,6.0,6.0,8.29,6.67,6.0,6.871428571428571,242.0,323.0,3.0,2.0,2.0,3.0,0.0,29.0,9.0,19.0,42.2,6.707142857142861,482.0,558.0,4.0,5.0,5.0,4.0,0.0,13.0,14.0,29.0,59.6,1.0,1.0,1.0,1.0,0,0,1,0,0,1,6.45,6.57,8.5,6.55,6.0,8.04,8.75,6.89,6.48,6.7,6.61,5.79,7.24,7.61,6.38,6.73,6.83,6.0,6.0,8.29,6.67,6.0
829528,167,26,7.209285714285719,511.0,593.0,3.0,5.0,5.0,3.0,0.0,29.0,11.0,14.0,55.8,7.28076923076923,514.0,601.0,2.0,5.0,5.0,2.0,0.0,16.0,8.0,22.0,56.1,1.0,1.0,1.0,1.0,1.0,1,1,0,0,0,0,6.68,8.9,6.85,6.0,7.85,7.9,6.56,6.74,7.37,7.2,7.43,7.1,8.52,7.62,6.0,6.61,6.32,7.68,6.74,7.71,6.71,8.96,7.209285714285719,511.0,593.0,3.0,5.0,5.0,3.0,0.0,29.0,11.0,14.0,55.8,7.28076923076923,514.0,601.0,2.0,5.0,5.0,2.0,0.0,16.0,8.0,22.0,56.1,1.0,1.0,1.0,1.0,1,1,0,0,0,0,6.68,8.9,6.85,6.0,7.85,7.9,6.56,6.74,7.37,7.2,7.43,7.1,8.52,7.62,6.0,6.61,6.32,7.68,6.74,7.71,6.71,8.96
829534,184,32,6.392857142857145,320.5,429.0,3.0,1.5,6.0,3.5,0.0,15.5,9.5,31.0,41.6,6.73321428571429,481.0,551.0,3.5,4.0,4.5,4.0,0.0,18.0,14.5,18.5,57.45,0.0,0.8,2.5,0.8333333333333334,0.8,0,0,0,1,2,1,5.595000000000001,6.925000000000001,6.324999999999999,6.755,6.545,6.595000000000001,6.63,6.98,6.86,6.24,6.029999999999999,6.08,7.904999999999999,6.57,6.0,6.0,6.48,6.775,7.21,6.875,6.62,7.414999999999999,6.392857142857145,320.5,429.0,3.0,1.5,6.0,3.5,0.0,15.5,9.5,31.0,41.6,6.73321428571429,481.0,551.0,3.5,4.0,4.5,4.0,0.0,18.0,14.5,18.5,57.45,0.8,2.5,0.8333333333333334,0.8,0,0,0,1,2,1,5.595000000000001,6.925000000000001,6.324999999999999,6.755,6.545,6.595000000000001,6.63,6.98,6.86,6.24,6.029999999999999,6.08,7.904999999999999,6.57,6.0,6.0,6.48,6.775,7.21,6.875,6.62,7.414999999999999
829542,29,18,6.90714285714286,349.5,434.0,4.5,6.0,7.0,8.5,0.0,20.0,11.5,19.5,50.35,6.809615384615385,378.5,478.5,2.0,4.0,4.5,3.5,0.0,28.5,12.5,29.5,50.75,2.0,0.0,0.875,0.875,1.68,1,0,0,1,1,1,6.645,7.245,7.5,6.705,7.105,4.095,7.685,7.81,6.725,7.3100000000000005,6.52,6.835,7.32,7.075,7.28,6.765000000000001,7.08,6.77,6.295,6.984999999999999,6.51,6.08,6.90714285714286,349.5,434.0,4.5,6.0,7.0,8.5,0.0,20.0,11.5,19.5,50.35,6.809615384615385,378.5,478.5,2.0,4.0,4.5,3.5,0.0,28.5,12.5,29.5,50.75,0.0,0.875,0.875,1.68,1,0,0,1,1,1,6.645,7.245,7.5,6.705,7.105,4.095,7.685,7.81,6.725,7.3100000000000005,6.52,6.835,7.32,7.075,7.28,6.765000000000001,7.08,6.77,6.295,6.984999999999999,6.51,6.08
829540,259,175,6.946785714285715,393.0,470.5,1.5,4.5,1.5,1.0,0.0,17.5,17.0,19.0,47.9,6.609999999999999,312.5,403.5,1.0,3.5,4.5,5.5,0.0,18.5,16.5,22.0,50.099999999999994,1.0,0.84,0.0,0.0,0.0,2,0,0,2,0,0,7.675,7.695,7.0649999999999995,6.725,6.890000000000001,6.845,7.54,6.869999999999999,7.545,6.63,6.8,6.1899999999999995,3.045,6.645,6.71,6.8149999999999995,7.535,7.140000000000001,7.25,6.58,3.05,6.51,6.946785714285715,393.0,470.5,1.5,4.5,1.5,1.0,0.0,17.5,17.0,19.0,47.9,6.609999999999999,312.5,403.5,1.0,3.5,4.5,5.5,0.0,18.5,16.5,22.0,50.099999999999994,0.84,0.0,0.0,0.0,2,0,0,2,0,0,7.675,7.695,7.0649999999999995,6.725,6.890000000000001,6.845,7.54,6.869999999999999,7.545,6.63,6.8,6.1899999999999995,3.045,6.645,6.71,6.8149999999999995,7.535,7.140000000000001,7.25,6.58,3.05,6.51
829537,167,96,7.061071428571429,508.5,589.5,2.0,4.5,4.5,4.5,0.0,22.5,12.0,13.0,54.349999999999994,6.829258241758245,426.0,509.0,5.5,2.5,7.5,3.5,0.0,21.5,12.0,28.0,60.2,2.0,2.52,0.875,0.875,0.84,2,0,0,1,0,1,7.08,6.0,3.72,7.375,6.675,7.03,6.96,6.79,7.109999999999999,6.955,8.149999999999999,6.045,7.265000000000001,7.845000000000001,7.045,8.21,6.0,7.1899999999999995,6.0,7.01,6.165,6.335,7.061071428571429,508.5,589.5,2.0,4.5,4.5,4.5,0.0,22.5,12.0,13.0,54.349999999999994,6.829258241758245,426.0,509.0,5.5,2.5,7.5,3.5,0.0,21.5,12.0,28.0,60.2,2.52,0.875,0.875,0.84,2,0,0,1,0,1,7.08,6.0,3.72,7.375,6.675,7.03,6.96,6.79,7.109999999999999,6.955,8.149999999999999,6.045,7.265000000000001,7.845000000000001,7.045,8.21,6.0,7.1899999999999995,6.0,7.01,6.165,6.335
829538,23,162,6.574285714285716,413.5,497.5,2.5,2.0,7.0,5.0,0.0,17.5,8.0,23.0,51.900000000000006,6.600714285714284,201.0,300.0,2.0,3.0,1.5,4.5,0.0,31.0,16.5,20.5,34.95,0.0,0.0,1.75,0.875,1.68,0,0,1,0,1,2,6.545,6.695,6.0,6.6850000000000005,7.15,6.48,6.640000000000001,6.37,6.67,7.07,6.415,6.4350000000000005,5.945,6.35,6.0,6.955,8.045,6.0,6.27,6.955,5.9350000000000005,7.24,6.574285714285716,413.5,497.5,2.5,2.0,7.0,5.0,0.0,17.5,8.0,23.0,51.900000000000006,6.600714285714284,201.0,300.0,2.0,3.0,1.5,4.5,0.0,31.0,16.5,20.5,34.95,0.0,1.75,0.875,1.68,0,0,1,0,1,2,6.545,6.695,6.0,6.6850000000000005,7.15,6.48,6.640000000000001,6.37,6.67,7.07,6.415,6.4350000000000005,5.945,6.35,6.0,6.955,8.045,6.0,6.27,6.955,5.9350000000000005,7.24
